"Species","Year","Num_of_trees","sss"
"FAGR",1907,2,0.482
"FAGR",1908,2,0.482
"FAGR",1909,2,0.482
"FAGR",1910,2,0.482
"FAGR",1911,2,0.482
"FAGR",1912,2,0.482
"FAGR",1913,2,0.482
"FAGR",1914,2,0.482
"FAGR",1915,2,0.482
"FAGR",1916,2,0.482
"FAGR",1917,2,0.482
"FAGR",1918,2,0.482
"FAGR",1919,2,0.482
"FAGR",1920,3,0.596
"FAGR",1921,4,0.677
"FAGR",1922,4,0.677
"FAGR",1923,4,0.677
"FAGR",1924,4,0.677
"FAGR",1925,4,0.677
"FAGR",1926,4,0.677
"FAGR",1927,4,0.677
"FAGR",1928,5,0.736
"FAGR",1929,5,0.736
"FAGR",1930,6,0.782
"FAGR",1931,6,0.782
"FAGR",1932,7,0.818
"FAGR",1933,8,0.848
"FAGR",1934,8,0.848
"FAGR",1935,8,0.848
"FAGR",1936,9,0.873
"FAGR",1937,9,0.873
"FAGR",1938,9,0.873
"FAGR",1939,9,0.873
"FAGR",1940,11,0.911
"FAGR",1941,11,0.911
"FAGR",1942,12,0.926
"FAGR",1943,12,0.926
"FAGR",1944,14,0.951
"FAGR",1945,14,0.951
"FAGR",1946,15,0.962
"FAGR",1947,15,0.962
"FAGR",1948,17,0.979
"FAGR",1949,17,0.979
"FAGR",1950,20,1
"FAGR",1951,23,1
"FAGR",1952,25,1
"FAGR",1953,27,1
"FAGR",1954,34,1
"FAGR",1955,37,1
"FAGR",1956,38,1
"FAGR",1957,38,1
"FAGR",1958,41,1
"FAGR",1959,44,1
"FAGR",1960,47,1
"FAGR",1961,49,1
"FAGR",1962,52,1
"FAGR",1963,55,1
"FAGR",1964,59,1
"FAGR",1965,59,1
"FAGR",1966,60,1
"FAGR",1967,62,1
"FAGR",1968,64,1
"FAGR",1969,67,1
"FAGR",1970,68,1
"FAGR",1971,71,1
"FAGR",1972,71,1
"FAGR",1973,72,1
"FAGR",1974,74,1
"FAGR",1975,76,1
"FAGR",1976,76,1
"FAGR",1977,78,1
"FAGR",1978,78,1
"FAGR",1979,80,1
"FAGR",1980,80,1
"FAGR",1981,80,1
"FAGR",1982,80,1
"FAGR",1983,81,1
"FAGR",1984,81,1
"FAGR",1985,81,1
"FAGR",1986,81,1
"FAGR",1987,81,1
"FAGR",1988,81,1
"FAGR",1989,81,1
"FAGR",1990,81,1
"FAGR",1991,81,1
"FAGR",1992,81,1
"FAGR",1993,81,1
"FAGR",1994,81,1
"FAGR",1995,81,1
"FAGR",1996,81,1
"FAGR",1997,81,1
"FAGR",1998,81,1
"FAGR",1999,81,1
"FAGR",2000,81,1
"FAGR",2001,80,1
"FAGR",2002,79,1
"FAGR",2003,78,1
"FAGR",2004,78,1
"FAGR",2005,77,1
"FAGR",2006,75,1
"FAGR",2007,73,1
"FAGR",2008,68,1
"FAGR",2009,63,1
"FRAM",1869,1,0.181
"FRAM",1870,3,0.407
"FRAM",1871,3,0.407
"FRAM",1872,3,0.407
"FRAM",1873,3,0.407
"FRAM",1874,3,0.407
"FRAM",1875,3,0.407
"FRAM",1876,3,0.407
"FRAM",1877,3,0.407
"FRAM",1878,3,0.407
"FRAM",1879,4,0.482
"FRAM",1880,4,0.482
"FRAM",1881,4,0.482
"FRAM",1882,5,0.543
"FRAM",1883,5,0.543
"FRAM",1884,5,0.543
"FRAM",1885,7,0.634
"FRAM",1886,7,0.634
"FRAM",1887,7,0.634
"FRAM",1888,7,0.634
"FRAM",1889,7,0.634
"FRAM",1890,7,0.634
"FRAM",1891,7,0.634
"FRAM",1892,8,0.669
"FRAM",1893,9,0.699
"FRAM",1894,9,0.699
"FRAM",1895,10,0.725
"FRAM",1896,12,0.768
"FRAM",1897,12,0.768
"FRAM",1898,12,0.768
"FRAM",1899,13,0.786
"FRAM",1900,13,0.786
"FRAM",1901,13,0.786
"FRAM",1902,13,0.786
"FRAM",1903,14,0.802
"FRAM",1904,14,0.802
"FRAM",1905,14,0.802
"FRAM",1906,14,0.802
"FRAM",1907,14,0.802
"FRAM",1908,14,0.802
"FRAM",1909,14,0.802
"FRAM",1910,15,0.816
"FRAM",1911,15,0.816
"FRAM",1912,15,0.816
"FRAM",1913,15,0.816
"FRAM",1914,16,0.829
"FRAM",1915,17,0.841
"FRAM",1916,18,0.852
"FRAM",1917,18,0.852
"FRAM",1918,19,0.862
"FRAM",1919,19,0.862
"FRAM",1920,20,0.871
"FRAM",1921,20,0.871
"FRAM",1922,22,0.887
"FRAM",1923,22,0.887
"FRAM",1924,22,0.887
"FRAM",1925,23,0.894
"FRAM",1926,24,0.901
"FRAM",1927,24,0.901
"FRAM",1928,25,0.907
"FRAM",1929,27,0.919
"FRAM",1930,27,0.919
"FRAM",1931,28,0.924
"FRAM",1932,28,0.924
"FRAM",1933,30,0.933
"FRAM",1934,34,0.949
"FRAM",1935,36,0.956
"FRAM",1936,38,0.962
"FRAM",1937,42,0.973
"FRAM",1938,43,0.976
"FRAM",1939,43,0.976
"FRAM",1940,45,0.98
"FRAM",1941,45,0.98
"FRAM",1942,48,0.986
"FRAM",1943,49,0.988
"FRAM",1944,51,0.992
"FRAM",1945,52,0.994
"FRAM",1946,53,0.995
"FRAM",1947,53,0.995
"FRAM",1948,55,0.999
"FRAM",1949,57,1
"FRAM",1950,57,1
"FRAM",1951,58,1
"FRAM",1952,58,1
"FRAM",1953,60,1
"FRAM",1954,63,1
"FRAM",1955,63,1
"FRAM",1956,65,1
"FRAM",1957,66,1
"FRAM",1958,68,1
"FRAM",1959,68,1
"FRAM",1960,69,1
"FRAM",1961,70,1
"FRAM",1962,70,1
"FRAM",1963,70,1
"FRAM",1964,70,1
"FRAM",1965,70,1
"FRAM",1966,70,1
"FRAM",1967,70,1
"FRAM",1968,70,1
"FRAM",1969,70,1
"FRAM",1970,70,1
"FRAM",1971,70,1
"FRAM",1972,70,1
"FRAM",1973,70,1
"FRAM",1974,72,1
"FRAM",1975,72,1
"FRAM",1976,72,1
"FRAM",1977,72,1
"FRAM",1978,72,1
"FRAM",1979,72,1
"FRAM",1980,72,1
"FRAM",1981,72,1
"FRAM",1982,72,1
"FRAM",1983,73,1
"FRAM",1984,73,1
"FRAM",1985,73,1
"FRAM",1986,73,1
"FRAM",1987,73,1
"FRAM",1988,73,1
"FRAM",1989,73,1
"FRAM",1990,74,1
"FRAM",1991,74,1
"FRAM",1992,74,1
"FRAM",1993,74,1
"FRAM",1994,74,1
"FRAM",1995,74,1
"FRAM",1996,74,1
"FRAM",1997,74,1
"FRAM",1998,74,1
"FRAM",1999,74,1
"FRAM",2000,73,1
"FRAM",2001,72,1
"FRAM",2002,71,1
"FRAM",2003,71,1
"FRAM",2004,70,1
"FRAM",2005,68,1
"FRAM",2006,68,1
"FRAM",2007,67,1
"FRAM",2008,61,1
"FRAM",2009,61,1
"FRAM",2010,41,0.971
"FRAM",2011,40,0.968
"FRAM",2012,36,0.956
