"year","month","cld","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet","PETminusPRE"
1975,6,64.80000305,12.90000057,0,4.099999905,122.99999715,122,15.30000019,21.70000076,28.20000076,19.20000076,12.22999954,0.999997149999999
1975,7,61.70000076,12.90000057,0,4.099999905,127.099997055,131.8000031,16.70000076,23.10000038,29.60000038,21.89999962,13.30999947,-4.70000604499999
1975,8,65.30000305,14.10000038,0,3.799999952,117.799998512,119.9000015,16.89999962,23.89999962,31,22.89999962,10.67000008,-2.100002988
1975,9,67.90000153,11.80000019,0,2.700000048,81.00000144,220.3000031,12.19999981,18.10000038,24,16,14.67000008,-139.30000166
1975,10,59.79999924,14.40000057,1.00999999,2.600000143,80.600004433,68.59999847,7.900000095,15.10000038,22.30000114,11.60000038,8.069999695,12.000005963
1975,11,63.5,14.40000057,9.220000267,2,60,48.70000076,3.200000048,10.40000057,17.60000038,8.300000191,8.869999886,11.29999924
1975,12,67.40000153,10.80000019,24.02999878,1.200000048,37.200001488,64.59999847,-2.900000095,2.5,7.900000095,5,12.59000015,-27.399996982
1976,1,65.5,10.90000057,27.04999924,1.300000072,40.300002232,97.90000153,-5.800000191,-0.300000012,5.200000286,3.600000143,15.36999989,-57.599999298
1976,2,69.59999847,15.30000019,18.23999977,2.400000095,69.600002755,28.5,-0.600000024,7.099999905,14.80000019,5.5,8.149999619,41.100002755
1976,3,70.70000458,14.69999981,12.32999992,2.900000095,89.900002945,59.5,2.100000143,9.400000572,16.80000114,6.800000191,10.56999969,30.400002945
1976,4,59.40000153,17.20000076,4.869999886,4.200000286,126.00000858,41.90000153,5.200000286,13.80000019,22.39999962,8.199999809,8.119999886,84.10000705
1976,5,69.90000153,14.40000057,0.149999991,3.799999952,117.799998512,96.80000305,9.199999809,16.39999962,23.60000038,12,13.09999943,20.999995462
1976,6,63.90000153,13.90000057,0,4.5,135,100.0999985,15.40000057,22.30000114,29.30000114,18.60000038,11,34.9000015
1976,7,68.80000305,13.80000019,0,4.099999905,127.099997055,83,16,22.89999962,29.80000114,20.39999962,9.529999733,44.099997055
1976,8,60.70000076,15.60000038,0,3.799999952,117.799998512,65.80000305,14.19999981,22,29.80000114,20.20000076,7.779999733,51.999995462
1976,9,58.5,14.80000019,0,3.299999952,98.99999856,122.9000015,11.69999981,19.10000038,26.5,15.10000038,10.81999969,-23.90000294
1976,10,58.60000229,12.10000038,5.429999828,2,62,263.2000122,5,11,17.10000038,9.300000191,14.57999992,-201.2000122
1976,11,62.90000153,13.40000057,21.77000046,1.899999976,56.99999928,24.10000038,-1.800000072,4.900000095,11.60000038,4.599999905,6.46999979,32.8999989
1976,12,67.40000153,12.60000038,27.04999924,1.399999976,43.399999256,45.60000229,-5.800000191,0.5,6.800000191,3.600000143,10.44999981,-2.200003034
1977,1,72.09999847,11.60000038,30.40999985,1.100000024,34.100000744,27,-10.90000057,-5.099999905,0.699999988,2.200000048,8.559999466,7.100000744
1977,2,70.09999847,14.60000038,23.64999962,1.899999976,53.199999328,10.5,-4.900000095,2.400000095,9.699999809,4,5.559999943,42.699999328
1977,3,59.40000153,14.60000038,10.2699995,3.100000143,96.100004433,70.80000305,2.900000095,10.19999981,17.5,6.900000095,10.52999973,25.300001383
1977,4,61.70000076,16.39999962,3.609999895,3.900000095,117.00000285,67.80000305,5.900000095,14.10000038,22.30000114,9.400000572,10.36999989,49.1999998
1977,5,54.40000153,15.60000038,0,4.5,139.5,34.29999924,11.30000019,19.10000038,26.89999962,14.30000019,8.449999809,105.20000076
1977,6,62.5,14.5,0,4.5,135,56.20000076,13.90000057,21.10000038,28.39999962,17,8.349999428,78.79999924
1977,7,64.59999847,15.30000019,0,4.800000191,148.800005921,71.90000153,18.10000038,25.70000076,33.40000153,22.5,9.800000191,76.900004391
1977,8,64.5,14.19999981,0,4,124,72.40000153,17.20000076,24.30000114,31.39999962,22.5,10.0199995,51.59999847
1977,9,68.40000153,12.69999981,0,3.100000143,93.00000429,67.59999847,14.90000057,21.20000076,27.60000038,18.39999962,6.96999979,25.40000582
1977,10,56.5,13,3.730000019,2.299999952,71.299998512,96.90000153,5.900000095,12.40000057,18.89999962,9.699999809,9.679999352,-25.600003018
1977,11,74.59999847,9.199999809,6.710000038,1.300000072,39.00000216,152.1000061,4.300000191,8.900000572,13.5,8.699999809,14.50999928,-113.10000394
1977,12,70.80000305,10.5,25.03999901,1.100000024,34.100000744,82.40000153,-3.799999952,1.5,6.800000191,4.800000191,13.79999924,-48.300000786
1978,1,73.90000153,10.69999981,28.62999916,1.100000024,34.100000744,184.9000092,-7.700000286,-2.299999952,3.100000143,3.299999952,20.18999863,-150.800008456
1978,2,68.5,11.90000057,26.73999977,1.300000072,36.400002016,12,-9.199999809,-3.200000048,2.799999952,2.700000048,4.980000019,24.400002016
1978,3,71.5,12.19999981,20.52000046,2.200000048,68.200001488,82.09999847,-1,5.099999905,11.19999981,5.300000191,13.23999977,-13.899996982
1978,4,65.80000305,14.80000019,5.059999943,3.900000095,117.00000285,43.60000229,5.099999905,12.5,19.89999962,7.300000191,10.09999943,73.40000056
1978,5,63.70000076,13.30000019,0,3.799999952,117.799998512,135.1999969,10.10000038,16.70000076,23.39999962,13.19999981,13.97999954,-17.399998388
1978,6,58.79999924,14.5,0,4.599999905,137.99999715,84.30000305,15,22.20000076,29.5,18.70000076,10.47999954,53.6999941
1978,7,65.70000458,13,0,3.900000095,120.900002945,147.9000092,16.70000076,23.20000076,29.70000076,22.39999962,12.42999935,-27.000006255
1978,8,63.29999924,12.60000038,0,3.700000048,114.700001488,148.6000061,18.20000076,24.5,30.80000114,24.5,13.17000008,-33.900004612
1978,9,55.79999924,13.69999981,0,3.299999952,98.99999856,35.20000076,14.10000038,20.89999962,27.80000114,18.20000076,6.079999924,63.7999978
1978,10,56.40000153,15.69999981,5.230000019,2.5,77.5,31.80000114,5.099999905,12.90000057,20.80000114,9.699999809,5.019999981,45.69999886
1978,11,65.59999847,12.40000057,10.42999935,1.600000024,48.00000072,66.09999847,2.700000048,8.900000572,15.10000038,8,9.88999939,-18.09999775
1978,12,67.70000458,13.19999981,23.55999947,1.5,46.5,87,-2.5,4.099999905,10.69999981,5,14.03999996,-40.5
1979,1,70.90000153,9.900000572,26.38999939,1.100000024,34.100000744,150.6999969,-5.099999905,-0.100000001,4.900000095,4,18.52000046,-116.599996156
1979,2,66.70000458,11.40000057,26.68999863,1.100000024,30.800000672,113.8000031,-9.100000381,-3.400000095,2.299999952,3.299999952,15.5199995,-83.000002428
1979,3,68.40000153,15.40000057,14.98999977,2.700000048,83.700001488,68.40000153,1.100000024,8.800000191,16.5,6.900000095,12.31999969,15.299999958
1979,4,70.59999847,13,3.779999971,3.100000143,93.00000429,67.90000153,5.800000191,12.30000019,18.80000114,9.199999809,11.75,25.10000276
1979,5,65.09999847,13.5,0,3.700000048,114.700001488,104.5,11,17.70000076,24.5,14.69999981,12.23999977,10.200001488
1979,6,60.29999924,14.10000038,0,4.099999905,122.99999715,140.1999969,13.5,20.5,27.60000038,18.10000038,14.39999962,-17.19999975
1979,7,63.20000076,12,0,4,124,73.70000458,17.30000114,23.30000114,29.30000114,22.70000076,9.420000076,50.29999542
1979,8,67.59999847,12.90000057,0,3.5,108.5,114.5,16.89999962,23.30000114,29.80000114,23.10000038,11.80000019,-6
1979,9,56.40000153,11.90000057,0,2.900000095,87.00000285,189.6999969,13.5,19.39999962,25.39999962,17.89999962,13.59000015,-102.69999405
1979,10,63.20000076,13.10000038,3.059999943,2.100000143,65.100004433,164.1999969,6.300000191,12.80000019,19.39999962,11,11.42999935,-99.099992467
1979,11,64.59999847,12.5,7.589999676,1.800000072,54.00000216,87.59999847,3.900000095,10.10000038,16.39999962,8.300000191,10.97999954,-33.59999631
1979,12,66.40000153,12.5,22.72999954,1.5,46.5,31.39999962,-1.899999976,4.400000095,10.69999981,5,7.509999752,15.10000038
1980,1,72.59999847,9.699999809,25.14999962,1.300000072,40.300002232,74.90000153,-3.900000095,1,5.900000095,4.099999905,14.50999928,-34.599999298
1980,2,70.59999847,12.10000038,25.47999954,1.5,43.5,24.89999962,-6,0.100000001,6.200000286,3.600000143,7.779999733,18.60000038
1980,3,74.20000458,12.90000057,19.5,2,62,103.2000046,-0.600000024,5.900000095,12.40000057,6.400000095,14.46000004,-41.2000046
1980,4,66.20000458,14.19999981,3.439999819,3.600000143,108.00000429,114.8000031,6,13.10000038,20.20000076,8.900000572,13.92999935,-6.79999880999999
1980,5,61.90000153,14.80000019,0,4.200000286,130.200008866,96.70000458,11.30000019,18.70000076,26.10000038,14.19999981,11.36999989,33.500004286
1980,6,63.79999924,15.19999981,0,4.400000095,132.00000285,42.60000229,13.5,21.10000038,28.70000076,17.10000038,6.159999847,89.40000056
1980,7,59.10000229,14.30000019,0,4.700000286,145.700008866,115.2000046,18.20000076,25.30000114,32.5,23.10000038,11.93999958,30.500004266
1980,8,61.40000153,14.19999981,0,4.099999905,127.099997055,75.09999847,17.89999962,25,32.10000229,23.80000114,8.920000076,51.999998585
1980,9,59.10000229,14.60000038,0,3.600000143,108.00000429,48.5,14.69999981,22,29.30000114,18.30000114,7.019999981,59.50000429
